Date;Type;Name;Branch;Message;Repo
2006-12-12 01:54:48 +0200;submodule;aspell-bg;SLACK-11_0;;https://github.com/gdsotirov/aspell-bg.SlackBuild.git
2007-01-03 00:01:00 +0200;submodule;opera;SLACK-11_0;;https://github.com/gdsotirov/opera.SlackBuild.git
2007-01-07 16:48:54 +0200;submodule;smw;SLACK-11_0;;https://github.com/gdsotirov/smw.SlackBuild.git
2007-01-23 01:09:37 +0200;submodule;sim;SLACK-11_0;;https://github.com/gdsotirov/sim.SlackBuild.git
2007-02-07 14:53:49 +0200;submodule;ktorrent;SLACK-11_0;;https://github.com/gdsotirov/ktorrent.SlackBuild.git
2007-02-12 09:17:19 +0200;submodule;dosbox;SLACK-11_0;;https://github.com/gdsotirov/dosbox.SlackBuild.git
2007-03-01 22:51:31 +0200;submodule;rrdtool;SLACK-11_0;;https://github.com/gdsotirov/rrdtool.SlackBuild.git
2007-03-18 06:12:04 +0200;submodule;k3b;SLACK-11_0;;https://github.com/gdsotirov/k3b.SlackBuild.git
2007-03-29 14:22:42 +0300;submodule;highlight;SLACK-11_0;;https://github.com/gdsotirov/highlight.SlackBuild.git
2007-07-09 21:15:10 +0300;submodule;pygobject;SLACK-11_0;;https://github.com/gdsotirov/pygobject.SlackBuild.git
;branch_sw;;SLACK-12_0;;
2007-07-09 22:04:55 +0300;submodule;libdaemon;SLACK-12_0;;https://github.com/gdsotirov/libdaemon.SlackBuild.git
